"","Sub_region","Zone","term","estimate","std.error","statistic","p.value","r.squared","adj.r.squared","sigma","statistic.1","p.value.1","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","BB","Inshore","(Intercept)",4419.64319898448,285.517120523966,15.4794332153315,6.4455000527067e-26,0.458869373749493,0.452188748734054,66.7881879358332,68.6865933485391,2.03365740971913e-12,1,-465.486330672046,936.972661344092,944.229183167481,361313.625867926,81,83
"2","BB","Inshore","BestSalinity",-66.064558659266,7.97136232036843,-8.28773752893628,2.03365740971927e-12,0.458869373749493,0.452188748734054,66.7881879358332,68.6865933485391,2.03365740971913e-12,1,-465.486330672046,936.972661344092,944.229183167481,361313.625867926,81,83
"3","BB","Mid channel","(Intercept)",2732.70338225763,247.874467945133,11.0245456295342,3.38791595511468e-17,0.0935453820909346,0.081128195544235,33.4303765310777,7.53354084994389,0.00761815749418709,1,-368.616687048611,743.233374097221,750.18583843783,81584.0754757032,73,75
"4","BB","Mid channel","BestSalinity",-18.890076606002,6.88230864852743,-2.74472964970029,0.00761815749418705,0.0935453820909346,0.081128195544235,33.4303765310777,7.53354084994389,0.00761815749418709,1,-368.616687048611,743.233374097221,750.18583843783,81584.0754757032,73,75
"5","BB","Offshore","(Intercept)",2147.10795739269,129.013409472122,16.6425177520532,1.04902379617645e-27,0.0069817547621278,-0.00543097330334552,20.3561305658977,0.562467390351351,0.455467781442906,1,-362.437896678597,730.875793357194,738.095951098987,33149.76412927,80,82
"6","BB","Offshore","BestSalinity",-2.69166151046621,3.5889860470838,-0.749978259919204,0.455467781442872,0.0069817547621278,-0.00543097330334552,20.3561305658977,0.562467390351351,0.455467781442906,1,-362.437896678597,730.875793357194,738.095951098987,33149.76412927,80,82
"7","UK","Inshore","(Intercept)",4126.36297157987,369.761729536565,11.1595187980962,1.9730427191841e-19,0.235825444853953,0.228406274415642,99.1310106286699,31.7859586613885,1.5138205559739e-07,1,-630.605342557745,1267.21068511549,1275.17256616596,1012176.59863093,103,105
"8","UK","Inshore","BestSalinity",-57.8525939748712,10.261366027185,-5.63790374708442,1.51382055597391e-07,0.235825444853953,0.228406274415642,99.1310106286699,31.7859586613885,1.5138205559739e-07,1,-630.605342557745,1267.21068511549,1275.17256616596,1012176.59863093,103,105
"9","UK","Mid channel","(Intercept)",2770.1529264361,273.300423032694,10.1359262298131,3.1371542925836e-15,0.0935141268066636,0.0801834522008793,37.6836111004184,7.01495832522133,0.0100403585579002,1,-352.356903211782,710.713806423564,717.459292149712,96563.709098595,68,70
"10","UK","Mid channel","BestSalinity",-20.1172115250046,7.59548017881627,-2.64857666025004,0.0100403585579005,0.0935141268066636,0.0801834522008793,37.6836111004184,7.01495832522133,0.0100403585579002,1,-352.356903211782,710.713806423564,717.459292149712,96563.709098595,68,70
"11","UK","Offshore","(Intercept)",1888.99667472864,147.745928707685,12.7854397833596,2.79822141188213e-23,0.010691377317011,0.00144550233866536,22.8775068053572,1.15634024276239,0.284644630637484,1,-494.841818974165,995.683637948331,1003.75768159502,56001.6939863204,107,109
"12","UK","Offshore","BestSalinity",4.41202175700094,4.10293678124221,1.0753326195938,0.284644630637468,0.010691377317011,0.00144550233866536,22.8775068053572,1.15634024276239,0.284644630637484,1,-494.841818974165,995.683637948331,1003.75768159502,56001.6939863204,107,109
"13","UK","Oceanic","(Intercept)",1856.88499692381,206.414627519429,8.99589830061354,1.6302524023065e-10,0.0233582612114611,-0.00536649581173121,25.6378552570365,0.813175240876771,0.373527142644521,1,-166.83945503461,339.67891006922,344.429466884588,22348.1871541457,34,36
"14","UK","Oceanic","BestSalinity",5.18749146881968,5.75261516722112,0.901762297324953,0.373527142644519,0.0233582612114611,-0.00536649581173121,25.6378552570365,0.813175240876771,0.373527142644521,1,-166.83945503461,339.67891006922,344.429466884588,22348.1871541457,34,36
"15","MK","Inshore","(Intercept)",3350.73193085478,271.880368045962,12.3242879025687,3.62338517766647e-23,0.166173515789635,0.159338872476435,113.165917347213,24.3134144935852,2.61281806594847e-06,1,-761.318250402544,1528.63650080509,1537.0973455019,1562396.03158241,122,124
"16","MK","Inshore","BestSalinity",-37.1387713754979,7.53190017367375,-4.93086346328766,2.61281806594845e-06,0.166173515789635,0.159338872476435,113.165917347213,24.3134144935852,2.61281806594847e-06,1,-761.318250402544,1528.63650080509,1537.0973455019,1562396.03158241,122,124
"17","MK","Mid channel","(Intercept)",2487.29641736945,272.716717142351,9.12043985947201,1.6818284042996e-15,0.0224440823727536,0.0145605669080178,69.3634773496457,2.84696370206279,0.0940606690674158,1,-711.937652396776,1429.87530479355,1438.38415051441,596600.206764317,124,126
"18","MK","Mid channel","BestSalinity",-12.7694796748959,7.56801939098083,-1.68729478813359,0.094060669067416,0.0224440823727536,0.0145605669080178,69.3634773496457,2.84696370206279,0.0940606690674158,1,-711.937652396776,1429.87530479355,1438.38415051441,596600.206764317,124,126
"19","MK","Offshore","(Intercept)",1786.11511737886,179.930749284765,9.92668081736321,1.77234386787959e-17,0.0156778145403576,0.0078032370566804,34.7696104317365,1.99094041208629,0.160726588908798,1,-629.887691255175,1265.77538251035,1274.30794376973,151115.72619684,125,127
"20","MK","Offshore","BestSalinity",7.05800336374559,5.00210414964957,1.41100687882319,0.160726588908789,0.0156778145403576,0.0078032370566804,34.7696104317365,1.99094041208629,0.160726588908798,1,-629.887691255175,1265.77538251035,1274.30794376973,151115.72619684,125,127
"21","MK","Oceanic","(Intercept)",2000.01333042863,178.095544460831,11.2300020558263,8.27116550203927e-18,0.000939246376808309,-0.0122062898550757,23.0966374883627,0.0714498336347965,0.789961436796625,1,-354.559751025565,715.119502051129,722.189628531198,40542.5544084319,76,78
"22","MK","Oceanic","BestSalinity",1.32224283541867,4.94664349115587,0.267301016898169,0.789961436796627,0.000939246376808309,-0.0122062898550757,23.0966374883627,0.0714498336347965,0.789961436796625,1,-354.559751025565,715.119502051129,722.189628531198,40542.5544084319,76,78
"23","LK","Inshore","(Intercept)",2806.5503177915,320.865497470523,8.74681241802674,1.02494372774686e-14,0.0468224759858817,0.0394335029315087,101.620259079149,6.33680426783677,0.0130505391709169,1,-790.25605761625,1586.5121152325,1595.1377072021,1332141.34013543,129,131
"24","LK","Inshore","BestSalinity",-22.3618857328395,8.88327849271775,-2.51730098872518,0.0130505391709169,0.0468224759858817,0.0394335029315087,101.620259079149,6.33680426783677,0.0130505391709169,1,-790.25605761625,1586.5121152325,1595.1377072021,1332141.34013543,129,131
"25","LK","Mid channel","(Intercept)",2512.52308181776,292.251369992011,8.59713020981372,2.05487283845023e-14,0.0199359883367908,0.0125112609757059,70.1359696102626,2.68508018776298,0.103673546641404,1,-758.688620318517,1523.37724063703,1532.07076003689,649315.158778661,132,134
"26","LK","Mid channel","BestSalinity",-13.3116567575818,8.12369258788897,-1.63862142905643,0.103673546641406,0.0199359883367908,0.0125112609757059,70.1359696102626,2.68508018776298,0.103673546641404,1,-758.688620318517,1523.37724063703,1532.07076003689,649315.158778661,132,134
"27","LK","Offshore","(Intercept)",1791.91103394207,165.28412987162,10.8413979934667,5.79084235508747e-21,0.0148245433411396,0.00878052213464353,34.6032836821972,2.45276163578088,0.119257624893096,1,-817.870263924133,1641.74052784827,1651.05836426997,195174.120379271,163,165
"28","LK","Offshore","BestSalinity",7.18977816700505,4.59079413953206,1.56612950798485,0.119257624893098,0.0148245433411396,0.00878052213464353,34.6032836821972,2.45276163578088,0.119257624893096,1,-817.870263924133,1641.74052784827,1651.05836426997,195174.120379271,163,165
"29","LK","Oceanic","(Intercept)",1707.48671693874,138.075941971023,12.3662869328611,2.40969424890336e-20,0.0700280304086799,0.0585468949816266,20.8152634212908,6.09939938898995,0.0156240427208622,1,-368.721635433155,743.443270866309,750.699792689699,35095.290495116,81,83
"30","LK","Oceanic","BestSalinity",9.47499367716692,3.83650168138491,2.46969621390772,0.0156240427208607,0.0700280304086799,0.0585468949816266,20.8152634212908,6.09939938898995,0.0156240427208622,1,-368.721635433155,743.443270866309,750.699792689699,35095.290495116,81,83
